faq_id,question,answer,category
FAQ066,How long will my order be held for in-store pickup?,We'll hold your order for 7 days. If not collected within this period your order will be canceled and refunded.,Store Pickup
FAQ067,Can someone else pick up my order?,Yes you can designate an alternate pickup person. They'll need to provide your order number and show their ID at pickup.,Store Pickup
FAQ068,Do you offer product repair services?,Yes we offer repair services for products within and outside of warranty periods. Service fees apply for out-of-warranty repairs.,Services
FAQ069,How do I schedule a product repair?,Contact our service department to schedule a repair. For eligible items we offer in-home service or you can ship the product to our repair center.,Services
FAQ070,Do you offer design consultation services?,Yes our design consultants offer free virtual consultations and paid in-home services to help with product selection and room planning.,Services
FAQ071,How do I book a design consultation?,Schedule a design consultation through our website's "Services" section or by calling our customer service line.,Services
FAQ072,Do you offer product customization?,Select furniture and home décor items can be customized with fabric finish and dimensional options. Look for the "Customize" button on eligible product pages.,Customization
FAQ073,How long do customized orders take?,Custom orders typically require 4-8 weeks for production and delivery depending on the complexity of the customization and current production volumes.,Customization
FAQ074,Can I cancel a custom order?,Custom orders can only be canceled within 24 hours of placement. After this period custom orders cannot be canceled or returned.Customization
FAQ075,Do you offer trade discounts for designers and businesses?,Yes we offer trade programs for interior designers architects and commercial clients with special pricing and dedicated account management.,Trade Program
FAQ076,How do I apply for a trade account?,Professional trade applications can be submitted through the "Trade Program" section of our website with proof of business credentials.,Trade Program
FAQ077,What are the requirements for a trade account?,Trade accounts require a business license resale certificate or professional design credentials. Applications are typically reviewed within 3 business days.,Trade Program
FAQ078,Do you offer volume discounts for large orders?,Yes orders over $5000 qualify for tiered discounts starting at 5%. Contact our business sales team for custom quotes on large orders.,Bulk Ordering
FAQ079,How do I place a bulk or corporate order?,For orders of 10+ units or corporate purchasing please contact our business sales department at business@example.com with your requirements.,Bulk Ordering
FAQ080,Do you offer samples before ordering?,Yes we offer fabric swatches material samples and color chips for most customizable products. Samples can be ordered from product pages for a small fee.,Samples
FAQ081,How long does it take to receive samples?,Samples are typically shipped within 1-2 business days and arrive within 3-5 business days via standard mail.,Samples
FAQ082,Are product samples free?,We charge a nominal fee of $2-5 per sample which is credited back to your account if you make a purchase of the sampled item within 30 days.,Samples
FAQ083,Do you offer gift wrapping services?,Yes gift wrapping is available during checkout for a $5.95 fee per item. You can also include a personalized gift message at no additional cost.,Gift Services
FAQ084,How do I add a gift receipt to my order?,Select the "This is a gift" option during checkout to include a gift receipt without pricing information in the package.,Gift Services
FAQ085,Do you offer product warranties beyond the manufacturer's warranty?,Yes we offer extended protection plans on electronics appliances and furniture. These can be added during checkout for 1-5 year coverage periods.,Warranties
FAQ086,How do I file a warranty claim?,To file a warranty claim visit the "Support" section of our website and select "Warranty Claims." You'll need your order number and product information.,Warranties
FAQ087,My product is discontinued. Can I still get replacement parts?,We stock replacement parts for discontinued items for up to 5 years. Contact customer service with your product model to check availability.,Parts & Accessories
FAQ088,How do I order replacement parts?,Replacement parts can be ordered through the "Parts & Accessories" section of our website by entering your product model number.,Parts & Accessories
FAQ089,I'm experiencing issues with your mobile app. What should I do?,Try updating the app to the latest version or reinstalling it. If problems persist contact our technical support team with your device information.,Technical Support
FAQ090,The product images aren't loading on your website. How can I fix this?,Try clearing your browser cache or using a different browser. If the issue continues it may be temporary on our end - please try again later.,Technical Support
FAQ091,I need technical support for my electronic product. Who do I contact?,Our technical support team is available via live chat email or phone. Please have your product model number and purchase date ready when you contact us.,Technical Support
FAQ092,I'm moving to a new home. Can you help me transfer my large purchases?,Yes we offer a relocation service for qualified purchases. Contact our customer service at least 2 weeks before your move for scheduling and pricing.,Services
FAQ093,My delivery time window wasn't honored. What compensation do you offer?,If your delivery arrived outside the scheduled window contact customer service with your order details. We typically offer a partial refund of delivery fees.,Escalation
FAQ094,I need to escalate a recurring website glitch that's preventing me from ordering.,For persistent technical ordering issues request our "E-commerce Technical Specialist" by using reference code "WEB-ESC" when contacting support.,Escalation
FAQ095,I have allergies and need detailed product material information not listed on your website.,For specialized product material inquiries please contact our Product Information Team at materials@example.com with subject "Material Specification Request" for detailed composition analysis.,Product Info
FAQ096,I'm dissatisfied with multiple aspects of my expensive purchase and need executive assistance.,For comprehensive resolution of high-value purchase issues request our "Executive Customer Relations" team by mentioning code "ECR-REVIEW" when contacting support.,Escalation
FAQ097,I've been incorrectly charged multiple times and need immediate financial resolution.,For duplicate charging issues immediately contact our Payment Processing Department at 1-888-555-BILL and reference "Urgent Billing Correction" for priority handling.,Escalation
FAQ098,I need assistance with an order placed through a third-party financing service that's showing errors.,For issues with third-party financing contact our Finance Partnership Team by using code "FIN-PARTNER" when speaking with customer service for specialized assistance.,Escalation
FAQ099,I need accommodations for a disability when using your products or services.,For accessibility assistance and product accommodation requests please contact our Accessibility Team at access@example.com who specialize in adaptive solutions and support.,Accessibility
FAQ100,Do you offer voice shopping assistance for visually impaired customers?,Yes we offer specialized shopping assistance for customers with visual impairments through our dedicated accessibility phone line at 1-877-555-ACCESS.,Accessibility
